,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
136,부산발전연구원 정보자료센터,부산 부산진구 중앙대로 955-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 중앙대로 955,35.1564287,129.0591521,127
137,대한불교조계종포교사단부산지역단,부산 부산진구 서면문화로 27-0,역사관광지,절,Busanjin-gu,부산 부산진구 서면문화로 27-0,35.1597884,129.0560354,127
138,보은정사,부산 부산진구 서전로68번길 81-0,역사관광지,절,Busanjin-gu,부산 부산진구 서전로68번길 81,35.15614,129.0672156,127
139,금성사,부산 부산진구 진남로328번길 175-0,역사관광지,절,Busanjin-gu,부산 부산진구 진남로328번길 175-0,35.1551059,129.0736818,127
140,롯데백화점 문화센터부산본점,부산 부산진구 가야대로 772-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 가야대로 772,35.156721950000005,129.05606329100732,127
141,백양산홍법사,부산 부산진구 성지로94번가길 37-0,역사관광지,절,Busanjin-gu,부산 부산진구 성지로94번가길 37-0,35.1800852,129.0525443,127
142,김종식미술관제2전시장,부산 부산진구 성지로 55-0,문화시설,미술관,Busanjin-gu,부산 부산진구 성지로 55-0,35.1726948,129.0550039,127
143,홍주갤러리,부산 부산진구 망양로945번길 44-0,문화시설,화랑/전시관,Busanjin-gu,부산 부산진구 망양로945번길 44-0,35.1427428,129.051402,127
144,용남사,부산 부산진구 가야대로572번가길 4-0,역사관광지,절,Busanjin-gu,부산 부산진구 가야대로572번가길 4-0,35.1533391,129.0335494,127
145,짱오락실부산삼정타워점,부산 부산진구 중앙대로 672-0,휴양관광지,놀이시설,Busanjin-gu,부산 부산진구 중앙대로 672,35.152987499999995,129.0596350607664,127
146,CGV대한,부산 부산진구 중앙대로692번길 16-0,공연/행사,극장,Busanjin-gu,부산 부산진구 중앙대로692번길 16-0,35.1544879,129.0608304,127
147,석불암,부산 부산진구 월드컵대로449번길 26-2,역사관광지,절,Busanjin-gu,부산 부산진구 월드컵대로449번길 26-2,35.1822564,129.0513195,127
148,선암사문화교육관,부산 부산진구 백양산로 138-0,문화시설,화랑/전시관,Busanjin-gu,부산 부산진구 백양산로 138,35.1758,129.03085,127
149,안양사,부산 부산진구 신암로71번길 19-0,역사관광지,절,Busanjin-gu,부산 부산진구 신암로71번길 19-0,35.1475582,129.0536203,127
150,화종암,부산 부산진구 백양산로 90-30,역사관광지,절,Busanjin-gu,부산 부산진구 백양산로 90-30,35.1758,129.03085,127
151,롯데호텔부산롯데아트홀,부산 부산진구 가야대로 772-0,공연/행사,공연장,Busanjin-gu,부산 부산진구 가야대로 772,35.156721950000005,129.05606329100732,127
152,찬누리작은도서관,부산 부산진구 백양산로 70-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 백양산로 70-0,35.1758,129.03085,127
153,개금다락방,부산 부산진구 복지로41번길 53-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 복지로41번길 53,35.1495275,129.0208887,127
154,보은사,부산 부산진구,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
155,대승미륵사,부산 부산진구 엄광로256번길 9-0,역사관광지,절,Busanjin-gu,부산 부산진구 엄광로256번길 9-0,35.1529586,129.0393696,127
156,청목수목원,부산 부산진구 양성로6번길 53-0,휴양관광지,동식물원,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
157,범천건강문화센터,부산 부산진구 신암로135번길 36-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 신암로135번길 36-0,35.1517923,129.0487535,127
