,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
133,133,심우정사,부산 기장군 반룡1길 16-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
134,134,성주암,부산 기장군 웅상대로 636-7,역사관광지,절,Gijang-gun,부산 기장군 웅상대로 636-7,35.35399,129.13754
135,135,위드에블린,부산 기장군 모전2길 21-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 모전2길 21-0,35.3354778,129.1696379
136,136,해용사,부산 기장군 기장해안로 635-0,역사관광지,절,Gijang-gun,부산 기장군 기장해안로 635,35.2248054,129.2297666
137,137,백운선원,부산 기장군 내리길 65-7,역사관광지,절,Gijang-gun,부산 기장군 내리길 65-7,35.2149963,129.2013227
138,138,능엄사,부산 기장군 반송로 1305-28,역사관광지,절,Gijang-gun,부산 기장군 반송로 1305-28,35.2514646,129.2205571
139,139,영일암,부산 기장군 기장해안로 233-1,역사관광지,절,Gijang-gun,부산 기장군 기장해안로 233-1,35.2248054,129.2297666
140,140,금광사,부산 기장군 임곡1길 197-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
141,141,보광사,부산 기장군 정관상곡2길 33-124,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
142,142,장관청,부산 기장군 읍내로68번길 23-1,역사관광지,문화유적지,Gijang-gun,부산 기장군 읍내로68번길 23-1,35.2442803,129.2117771
143,143,동백농원,부산 기장군 정관로 49-42,휴양관광지,동식물원,Gijang-gun,부산 기장군 정관로 49-42,35.3222563,129.1940209
144,144,학림사,부산 기장군 일광로 285-7,역사관광지,절,Gijang-gun,부산 기장군 일광로 285-7,35.31492,129.26159
145,145,법화사,부산 기장군 병산로 0-0,역사관광지,절,Gijang-gun,부산 기장군 병산로 0-0,35.3416204,129.1785031
146,146,관음암,부산 기장군 산수곡길 102-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
147,147,낙안사,부산 기장군 강변길 10-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
148,148,의열사,부산 기장군 와여1길 28-21,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
149,149,일광사,부산 기장군 원당길 9-29,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
150,150,백운산관음암,부산 기장군 양수길 56-14,역사관광지,절,Gijang-gun,부산 기장군 양수길 56-14,35.330241,129.1627714
151,151,약사암,부산 기장군 동서길 79-11,역사관광지,절,Gijang-gun,부산 기장군 동서길 79-11,35.2556772,129.1999393
152,152,원효암,부산 기장군 상곡길 45-8,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
153,153,BEXCO,부산 해운대구 APEC로 55-0,문화시설,전시장,Haeundae-gu,부산 해운대구 APEC로 55-0,35.1670333,129.1357275
154,154,더베이101,부산 해운대구 동백로 52-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 동백로 52-0,35.1566781,129.1533051
155,155,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,휴양관광지,수족관,Haeundae-gu,부산 해운대구 해운대해변로 266-0,35.1668153,129.1724472
156,156,벡스코제2전시장,부산 해운대구 APEC로 30-0,문화시설,전시장,Haeundae-gu,부산 해운대구 APEC로 30-0,35.1670333,129.1357275
157,157,부산광역시립반송도서관,부산 해운대구 아랫반송로 22-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 아랫반송로 22-0,35.225546,129.1471313
158,158,영화의전당,부산 해운대구 수영강변대로 120-0,공연/행사,극장,Haeundae-gu,부산 해운대구 수영강변대로 120,35.1712188,129.1266587
